2019-09-01 09:01:00,staplers,8,BOS
2019-09-01 09:01:00,post-its,7,SFO3
2019-09-01 09:01:00,dry-eraser,9,SFO2
2019-09-01 09:01:00,dry-eraser,7,NYC
2019-09-01 09:01:00,post-its,7,SEA
2019-09-01 09:01:00,dry-eraser,10,SFO2
2019-09-01 09:05:00,markers,7,SFO2
2019-09-01 09:05:00,post-its,10,SFO1
2019-09-01 09:05:00,dry-eraser,8,SEA
2019-09-01 09:05:00,staplers,8,SFO1
2019-09-01 09:06:00,post-its,10,SFO3
2019-09-01 09:06:00,markers,10,SEA
2019-09-01 09:06:00,dry-eraser,8,SEA
2019-09-01 09:06:00,post-its,9,NYC
2019-09-01 09:06:00,markers,8,SFO1
2019-09-01 09:07:00,dry-eraser,9,SEA
2019-09-01 09:07:00,dry-eraser,10,SEA
2019-09-01 09:08:00,dry-eraser,9,SFO1
2019-09-01 09:08:00,dry-eraser,7,SEA
2019-09-01 09:08:00,staplers,9,BOS
2019-09-01 09:10:00,markers,9,NYC
2019-09-01 09:10:00,post-its,6,LAX
2019-09-01 09:10:00,staplers,7,NYC
2019-09-01 09:10:00,staplers,10,SEA
2019-09-01 09:10:00,staplers,9,BOS
2019-09-01 09:10:00,staplers,7,SFO2
2019-09-01 09:10:00,markers,8,LAX
2019-09-01 09:10:00,post-its,9,LAX
2019-09-01 09:10:00,post-its,10,LAX
2019-09-01 09:10:00,staplers,8,NYC
2019-09-01 09:10:00,post-its,7,NYC
2019-09-01 09:10:00,dry-eraser,8,SFO2
2019-09-01 09:10:00,dry-eraser,6,SFO2
2019-09-01 09:11:00,markers,9,NYC
2019-09-01 09:12:00,markers,10,SFO3
2019-09-01 09:12:00,markers,6,SFO3
2019-09-01 09:12:00,post-its,8,SEA
2019-09-01 09:14:00,dry-eraser,7,LAX
2019-09-01 09:15:00,dry-eraser,9,SFO2
2019-09-01 09:15:00,dry-eraser,9,SEA
2019-09-01 09:15:00,markers,8,SEA
2019-09-01 09:15:00,post-its,8,SEA
2019-09-01 09:15:00,dry-eraser,7,BOS
2019-09-01 09:15:00,post-its,9,SFO2
2019-09-01 09:16:00,post-its,7,NYC
2019-09-01 09:16:00,post-its,7,SEA
2019-09-01 09:16:00,post-its,10,SFO1
2019-09-01 09:16:00,dry-eraser,6,SFO2
2019-09-01 09:17:00,markers,8,SEA
2019-09-01 09:17:00,dry-eraser,10,SFO2
2019-09-01 09:17:00,dry-eraser,10,SEA
2019-09-01 09:20:00,markers,7,SFO2
2019-09-01 09:21:00,markers,8,SFO3
2019-09-01 09:21:00,dry-eraser,9,BOS
2019-09-01 09:21:00,dry-eraser,6,SFO1
2019-09-01 09:23:00,staplers,9,SFO3
2019-09-01 09:23:00,dry-eraser,8,SEA
2019-09-01 09:26:00,staplers,7,SFO1
2019-09-01 09:26:00,post-its,6,NYC
2019-09-01 09:26:00,markers,7,SFO3
2019-09-01 09:26:00,staplers,7,SFO3
2019-09-01 09:26:00,staplers,9,SFO1
2019-09-01 09:27:00,staplers,9,SFO1
2019-09-01 09:27:00,staplers,9,LAX
2019-09-01 09:27:00,post-its,6,SFO3
2019-09-01 09:30:00,dry-eraser,10,SEA
2019-09-01 09:30:00,markers,10,SEA
2019-09-01 09:30:00,post-its,7,SFO1
2019-09-01 09:30:00,post-its,8,SFO3
2019-09-01 09:30:00,post-its,8,NYC
2019-09-01 09:33:00,markers,10,NYC
2019-09-01 09:33:00,markers,6,SFO3
2019-09-01 09:33:00,staplers,7,NYC
2019-09-01 09:33:00,dry-eraser,8,SFO1
2019-09-01 09:34:00,dry-eraser,8,BOS
2019-09-01 09:34:00,staplers,10,SFO2
2019-09-01 09:34:00,dry-eraser,10,SFO3
2019-09-01 09:35:00,post-its,7,SFO2
2019-09-01 09:35:00,staplers,10,SFO3
2019-09-01 09:35:00,markers,8,SFO2
2019-09-01 09:35:00,markers,10,LAX
2019-09-01 09:36:00,staplers,8,SFO1
2019-09-01 09:36:00,markers,10,BOS
2019-09-01 09:36:00,post-its,8,BOS
2019-09-01 09:36:00,markers,9,SFO3
2019-09-01 09:36:00,dry-eraser,8,SFO3
2019-09-01 09:37:00,markers,7,BOS
2019-09-01 09:37:00,markers,7,NYC
2019-09-01 09:37:00,staplers,9,NYC
2019-09-01 09:38:00,markers,10,SFO2
2019-09-01 09:38:00,post-its,9,SEA
2019-09-01 09:38:00,dry-eraser,7,LAX
2019-09-01 09:38:00,post-its,9,NYC
2019-09-01 09:39:00,dry-eraser,7,SEA
2019-09-01 09:39:00,markers,8,SEA
2019-09-01 09:40:00,dry-eraser,6,NYC
2019-09-01 09:40:00,post-its,10,NYC
2019-09-01 09:40:00,post-its,8,SFO3
2019-09-01 09:40:00,markers,7,NYC
2019-09-01 09:41:00,dry-eraser,9,SFO3
2019-09-01 09:41:00,post-its,7,SFO2
2019-09-01 09:41:00,markers,6,SFO2
2019-09-01 09:41:00,post-its,8,NYC
2019-09-01 09:41:00,dry-eraser,7,BOS
2019-09-01 09:41:00,staplers,9,SFO1
2019-09-01 09:41:00,staplers,7,LAX
2019-09-01 09:41:00,post-its,6,LAX
2019-09-01 09:41:00,markers,6,SFO2
2019-09-01 09:41:00,dry-eraser,7,SFO1
2019-09-01 09:41:00,staplers,6,SFO2
2019-09-01 09:42:00,post-its,9,SEA
2019-09-01 09:42:00,markers,7,SFO3
2019-09-01 09:42:00,post-its,6,SEA
2019-09-01 09:42:00,markers,9,SFO1
2019-09-01 09:42:00,staplers,6,LAX
2019-09-01 09:42:00,staplers,7,NYC
2019-09-01 09:42:00,markers,8,LAX
2019-09-01 09:45:00,staplers,10,SFO1
2019-09-01 09:45:00,staplers,8,SFO1
